1	Masamoto Sohonten	Japanese Knives	masamoto-sohonten.co.jp	support@masamoto-sohonten.co.jp	General/business	https://www.masamoto-sohonten.co.jp/en/contact_us/	Verified on page	
2	Misono	Japanese Knives	misonoknives.us	contact@misonoknives.us	General	https://misonoknives.us/contact.html	Decoded from Cloudflare obfuscation, verified	
3	Sakai Takayuki	Japanese Knives	sakaitakayukiknives.com	(email cannot receive mail - see note)	Website only - NO WORKING EMAIL	https://sakaitakayukiknives.com/contact	CAUTION: info@sakaitakayukiknives.com IS PRINTED on their own contact page, but the domain sakaitakayukiknives.com has NO MX RECORD (confirmed across 3 independent DNS resolvers) - mail sent to it will bounce even though the address looks legitimate. This is a real trap: always MX-check even an on-page address. Real, live website confirmed (Cloudflare-hosted). Recommend using their contact FORM instead of the printed email, or reaching out via a listed retailer.	
4	Yoshihiro	Japanese Knives	echefknife.com	info@echefknife.com	General (US showroom, Yoshihiro Cutlery)	https://www.echefknife.com/pages/contact-us	Verified on page; sheet had info@yoshiiroknife.com (misspelled, dead domain)	
5	Shun (KAI USA)	Japanese Knives	kaiusa.com / shun.kaiusa.com	(no email published)	Phone/social only	https://shun.kaiusa.com/contact-us	Verified: NO email on either kaiusa.com or shun.kaiusa.com contact pages. Phone 503-682-1966 / 800-325-2891. Social: facebook.com/shuncutlery, instagram.com/shuncutlery	
12	Tamanishiki	Premium Japanese Rice	jfc.com (brand owner)	(no email published)	Form/phone only	https://www.jfc.com/contact	VERIFIED FAKE SITE FLAGGED: sheet's tamanishikirice.com uses placeholder "555" phone and "1234 Rice Field Lane" fake address - not the real company. Tamanishiki is actually a JFC International brand. JFC publishes no email, form + phone +1 323-721-6100. Social: facebook.com/JFCInternational, instagram.com/jfcinternational	
13	Tamaki Gold	Premium Japanese Rice	tamakimai.com	info@tamakimai.com	General	https://www.tamakimai.com/	Verified on page. Williams, CA grower/packer. Sales agent Icrest International also lists info@icrest-llc.com	
14	Shirakiku	Premium Japanese Rice	wismettacusa.com (brand owner)	(no email published)	Form/phone/social only	https://wismettacusa.com/contact-us/	Verified: Shirakiku is a Wismettac Asian Foods brand. No email on Wismettac's contact page - web form only. Dedicated brand social: instagram.com/shirakikubrand. Parent: facebook.com/wismettacsake, linkedin.com/company/wismettac-asian-foods	
19	Sekka	Premium Japanese Rice	jfc.com (brand owner)	(no email published)	Form/phone only	https://www.jfc.com/contact	Verified: Sekka is a JFC International brand (same as Tamanishiki). No email published, form + phone +1 323-721-6100. Note: sheet's sekkarice.com does not exist.	
25	Dewazakura	Premium Sake	dewazakura.co.jp	(no email published)	Form only	https://www.dewazakura.co.jp/en/contact/	Verified: contact form only, no email address on page. Tendo, Yamagata brewery.
30	Hakutsuru	Premium Sake	hakutsuru-sake.com / hakutsuru-america.com	info@hakutsuru-america.com	General (US importer arm)	https://sayurisake.com/contact-us/	Corporate site hakutsuru-sake.com has NO email (form only, 403 to some fetches). hakutsuru-america.com MX verified live (mx1c38.carrierzone.com) so info@ can receive mail. Social: facebook.com/hakutsuru.sake.usa, instagram.com/hakutsuru.sake.usa. Sheet's hakutsurusa.com does not exist.
33	Chichibu Distillery (Venture Whisky)	Japanese Whisky	(no accessible official site found)	(none found)	Social only	https://www.facebook.com/ChichibuDistillery/	Genuinely hard target: small distillery, no discoverable official website with a contact page in English. Sheet's ichibey.jp does not exist. Only verified route is Facebook (ChichibuDistillery). Flag as low-confidence - recommend approaching via a US importer/distributor instead (e.g. their listed importers on retailer sites) rather than cold-emailing.
42	Arita Porcelain Lab	Luxury Japanese Ceramics	aritaporcelainlab.com	(no email published)	Form only	https://aritaporcelainlab.com/en/contact/	Verified: correct real domain (sheet's arita-porcelain-lab.com does not exist). Form only, checked raw HTML too - no email anywhere on site. Phone 81-955-43-2224.
43	Kihara	Luxury Japanese Ceramics	e-kihara.co.jp	(no email confirmed on-site)	Phone / US distributor	https://e-kihara.co.jp/english/	Real domain e-kihara.co.jp (sheet's kiharaincorporated.com does not exist). Search engines report kmatsu@e-kihara.co.jp but I could NOT verify it on any page - checked contact and English pages directly, no email in the HTML. DO NOT treat as confirmed. Phone 81-955-43-2325 is the safe fallback. US distributor AMEICO (ameico.com) carries the line but their contact page 404'd.
45	Narumi	Luxury Japanese Ceramics	narumi.co.jp	(no email published)	Phone (has US office)	https://www.narumi.co.jp/en/office-location/	Verified: real domain narumi.co.jp (sheet's narumi.com is unrelated/does not exist for this purpose). No email anywhere on their office-location or contact pages. DOES have a USA sales office: +1-310-856-8560 - best fallback for an English-speaking contact.
47	Hasami Porcelain	Luxury Japanese Ceramics	hasami-porcelain.com	sales@saikaiusa.com	US arm (Saikai USA)	https://hasami-porcelain.com/en/contact/	Verified on page - three addresses listed: info@tokyosaikai.com (Japan/corporate), sales@saikaiusa.com (US), info@europesaikai.com (Europe). Using the US one since Chris is targeting US-reachable sponsors. Sheet's hasamiporcelain.com does not exist.
48	1616 / Arita Japan	Luxury Japanese Ceramics	1616arita.jp	info@momota-touen.jp	General (parent company Momota Touen)	https://1616arita.jp/en/contact/	Verified on page. 1616/arita japan is a brand of Momota Touen Co. Sheet's 1616arita.com does not exist.
51	Kawai	Luxury Chopsticks	kawai-ohashi.co.jp (also kawai-hajime.com)	(no email published)	Form only	https://kawai-ohashi.co.jp/contact/	Real domain located (sheet's kawai-chopsticks.com does not exist - that's a retailer product tag, not the maker). Kawai Co Ltd, Obama City, Fukui. Contact is a web form, no email visible.
52	Hyozaemon	Luxury Chopsticks	hyozaemon.co.jp	customer@hyozaemon.co.jp	General	https://www.hyozaemon.co.jp/contact/	Verified on page (with a note to remove a formatting space before "jp" for mobile). Real domain hyozaemon.co.jp (sheet's hyozaemon.com is unrelated).
