#,COMPANY NAME,CATEGORY,US PRESENCE,WEBSITE,EMAIL,NOTES,SENT,LEAD BY
1,Masamoto Sohonten,Japanese Knives,Japan only,masamoto-sohonten.co.jp,support@masamoto-sohonten.co.jp,Tokyo-based knife maker. No US office. Contact JP HQ. [02-Sep: verified on company site],FALSE,Eikko
2,Misono,Japanese Knives,Japan only,misonoknives.us,contact@misonoknives.us,US distributor contact via misono.us [02-Sep: verified on company site],FALSE,Eikko
3,Sakai Takayuki,Japanese Knives,Japan only,sakaitakayukiknives.com,,"Sakai City knife maker. No US office. [02-Sep: website verified, no working email found]",FALSE,Eikko
4,Yoshihiro,Japanese Knives,Yes (US),echefknife.com,info@echefknife.com,US-based e-commerce and distribution. [02-Sep: verified on company site],FALSE,Eikko
5,Shun (KAI USA),Japanese Knives,Yes (USA HQ),kaiusa.com / shun.kaiusa.com,,"KAI USA Ltd. Oregon HQ. Shun, Kershaw, ZT brands. [02-Sep: website verified, no working email found]",FALSE,Eikko
6,Miyabi (Zwilling),Japanese Knives,Yes (USA HQ),miyabi-knives.com,press@zwilling.com,Part of Zwilling J.A. Henckels USA.,FALSE,Eikko
7,Global,Japanese Knives,Yes (US dist.),yoshikin.co.jp,info@yoshikin.co.jp,Yoshikin brand. US distributed via Chef's Resource & others.,FALSE,Eikko
8,Tojiro,Japanese Knives,Yes (US dist.),tojiro.com,info@tojiro.com,US distributor available. Contact via website.,FALSE,Eikko
9,MAC Knife,Japanese Knives,Yes (USA),macknife.com,info@macknife.com,"US office in Torrance, CA.",FALSE,Eikko
10,Aritsugu,Japanese Knives,Japan only,aritsugu.co.jp,info@aritsugu.co.jp,Kyoto knife maker since 1560. No public English email.,FALSE,Eikko
11,Koshihikari (variety),Premium Japanese Rice,Japan only,,,"Variety name, not a brand. Contact JA Toyama or rice cooperatives.",FALSE,Eikko
12,Tamanishiki,Premium Japanese Rice,Yes (USA),jfc.com (brand owner),,"US brand by JFC International. [02-Sep: website verified, no working email found]",FALSE,Eikko
13,Tamaki Gold,Premium Japanese Rice,Yes (USA),tamakimai.com,info@tamakimai.com,"US brand. Tamaki Corp, Forest Grove OR. [02-Sep: verified on company site]",FALSE,Eikko
