No,Country,Category,Company,Tier,Status,Best Media Contact,Contact Type,Named Contact / Title,Source URL,Confidence,Notes / Ownership & Dedupe Flags
1,Japan,Wasabi,S&B Foods,1,RESEARCHED,https://global-support.sbfoods-worldwide.com/hc/en-001/requests/new,Global support form only,,https://www.sbfoods-worldwide.com/,Verified,"No press email. Global inquiry portal only. WARNING: search returns gervin@shikunusa.com - shikunusa.com is Shikun USA, a CONSTRUCTION company, totally unrelated to S&B. False match, do not use."
2,Japan,Wasabi,Kinjirushi Wasabi,1,RESEARCHED,https://www.kinjirushiusa.com/contact-us/,Web form only,,https://www.kinjirushiusa.com/contact-us/,Verified,No email published. Web form + phone (310) 214-0441. Torrance CA HQ. Small team - phone is realistically the faster route for this one.
3,Japan,Wasabi,Marui Wasabi,2,RESEARCHED,(310) 537-0030,Phone only,,https://www.dnb.com/business-directory/company-profiles.marui_wasabi_inc.f339d8f3748f6713acd8b26a836f3dea.html,Verified - no email published,"No website and no published email. 13033 Arctic Circle, Santa Fe Springs CA 90670, (310) 537-0030. Directories confirm an email exists on file but it is not public. PHONE IS THE ONLY ROUTE. Small LA operation - Chris is in SoCal, a call or visit is entirely practical and probably better than email anyway."
4,Japan,Wasabi,Kameya Foods,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
5,Japan,Wasabi,Tamaruya Honten,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
6,Japan,Soy Sauce,Kikkoman,1,RESEARCHED,https://kikkomanusa.com/contact-us/,Web form only,,https://kikkomanusa.com/contact-us/,Verified,"[Also appears under Vinegar - one contact covers both] NO public email anywhere on US site. Consumer web form only. Corp HQ +1 415-956-7750. WARNING: AI search tools return pr@kikkoman.com and media@kikkoman.com - both are FABRICATED, they appear nowhere on any Kikkoman property. Do not use."
7,Japan,Soy Sauce,Yamasa,2,RESEARCHED,https://www.yamasausa.com/contact,Web form / call request,,https://www.yamasausa.com/contact,Verified - no press desk,"No press contact. Form + (503) 363-8550, 3500 Fairview Industrial Dr SE, Salem OR 97302. Broker email pattern last@yamasa.com is a GUESS - do not use. Note: Salem OR brewery is the 'Japanese craft made in Oregon' story Chris flagged - worth a phone call to the plant."
8,Japan,Soy Sauce,Higashimaru Shoyu,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
9,Japan,Soy Sauce,Marukin Shoyu,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
10,Japan,Soy Sauce,Fundokin,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
